"Odenwaldkreis;""2.370"";""1.450"";""910"";""39"""
"Oder-Spree;""6.060"";""3.220"";""2.840"";""47"""
"Offenbach;""9.350"";""6.730"";""2.630"";""28"""
"Offenbach am Main, Stadt;""6.800"";""3.980"";""2.830"";""42"""
"Oldenburg;""2.550"";""1.880"";""680"";""26"""
"Oldenburg (Oldenburg), Stadt;""6.160"";""4.220"";""1.940"";""32"""
"Olpe;""3.210"";""2.330"";""880"";""27"""
"Ortenaukreis;""9.320"";""6.910"";""2.410"";""26"""
"Osnabrück;""6.680"";""4.690"";""2.000"";""30"""
"Osnabrück, Stadt;""6.830"";""4.320"";""2.510"";""37"""
"Ostalbkreis;""5.990"";""3.980"";""2.020"";""34"""
"Ostallgäu;""2.210"";""1.790"";""420"";""19"""
"Osterholz;""2.120"";""1.620"";""500"";""24"""
"Ostholstein;""6.050"";""4.370"";""1.690"";""28"""
"Ostprignitz-Ruppin;""3.710"";""2.540"";""1.160"";""31"""
"Paderborn;""9.640"";""6.420"";""3.220"";""33"""
"Passau;""4.500"";""3.810"";""690"";""15"""
"Passau, Stadt;""1.580"";""1.240"";""340"";""22"""
"Peine;""4.130"";""2.860"";""1.270"";""31"""
"Pfaffenhofen a.d.Ilm;""1.690"";""1.510"";""180"";""10"""
"Pforzheim, Stadt;""4.170"";""2.570"";""1.610"";""38"""
"Pinneberg;""9.310"";""6.790"";""2.520"";""27"""
"Pirmasens, kreisfreie Stadt;""2.420"";""1.410"";""1.010"";""42"""
"Plön;""2.870"";""2.050"";""820"";""29"""
"Potsdam-Mittelmark;""5.360"";""3.510"";""1.850"";""35"""
"Potsdam, Stadt;""5.470"";""3.670"";""1.810"";""33"""
"Prignitz;""3.160"";""2.050"";""1.110"";""35"""
"Rastatt;""5.150"";""3.840"";""1.310"";""26"""
"Ravensburg;""4.510"";""3.230"";""1.280"";""28"""
"Recklinghausen;""26.540"";""13.730"";""12.810"";""48"""
"Regen;""2.160"";""1.850"";""310"";""14"""
"Regensburg;""3.080"";""2.560"";""520"";""17"""
"Regensburg, Stadt;""3.840"";""3.030"";""820"";""21"""
"Region Hannover;""46.860"";""26.390"";""20.470"";""44"""
"Regionalverband Saarbrücken;""16.250"";""10.230"";""6.020"";""37"""
"Rems-Murr-Kreis;""9.240"";""6.700"";""2.540"";""28"""
"Remscheid, Stadt;""4.450"";""2.960"";""1.490"";""34"""
"Rendsburg-Eckernförde;""6.220"";""4.470"";""1.750"";""28"""
"Reutlingen;""6.270"";""4.440"";""1.830"";""29"""
"Rhein-Erft-Kreis;""15.880"";""9.430"";""6.450"";""41"""
"Rhein-Hunsrück-Kreis;""2.430"";""1.830"";""610"";""25"""
"Rhein-Kreis Neuss;""13.650"";""8.390"";""5.260"";""39"""
"Rhein-Lahn-Kreis;""2.510"";""2.060"";""450"";""18"""
"Rhein-Neckar-Kreis;""12.320"";""8.650"";""3.670"";""30"""
"Rhein-Pfalz-Kreis;""3.560"";""2.410"";""1.150"";""32"""
"Rhein-Sieg-Kreis;""17.320"";""10.960"";""6.370"";""37"""
"Rheingau-Taunus-Kreis;""4.780"";""3.090"";""1.690"";""35"""
"Rheinisch-Bergischer Kreis;""8.770"";""5.260"";""3.510"";""40"""
"Rhön-Grabfeld;""1.300"";""990"";""310"";""24"""
"Rosenheim;""4.000"";""3.210"";""790"";""20"""
"Rosenheim, Stadt;""1.700"";""1.280"";""420"";""25"""
"Rostock, Hanse- und Universitätsstadt;""8.280"";""5.590"";""2.690"";""33"""
"Rotenburg (Wümme);""3.500"";""2.470"";""1.030"";""29"""
"Roth;""1.670"";""1.330"";""340"";""21"""
"Rottal-Inn;""2.750"";""2.120"";""630"";""23"""
"Rottweil;""2.420"";""1.940"";""480"";""20"""
"Saale-Holzland-Kreis;""2.080"";""1.430"";""650"";""31"""
"Saale-Orla-Kreis;""2.490"";""1.740"";""750"";""30"""
"Saalekreis;""6.300"";""3.960"";""2.340"";""37"""
"Saalfeld-Rudolstadt;""3.190"";""2.110"";""1.090"";""34"""
"Saarlouis;""5.960"";""3.430"";""2.540"";""43"""
"Saarpfalz-Kreis;""3.670"";""2.560"";""1.110"";""30"""
"Sächsische Schweiz-Osterzgebirge;""7.030"";""4.830"";""2.190"";""31"""
"Salzgitter, Stadt;""5.290"";""3.310"";""1.980"";""37"""
"Salzlandkreis;""8.090"";""5.160"";""2.930"";""36"""
"Schaumburg;""4.950"";""3.460"";""1.490"";""30"""
"Schleswig-Flensburg;""5.600"";""3.450"";""2.150"";""38"""
"Schmalkalden-Meiningen;""3.030"";""2.160"";""870"";""29"""
"Schwabach, Stadt;""870"";""620"";""250"";""29"""
"Schwäbisch Hall;""4.050"";""3.100"";""950"";""23"""
"Schwalm-Eder-Kreis;""4.250"";""3.300"";""950"";""22"""
"Schwandorf;""2.900"";""2.380"";""510"";""18"""
"Schwarzwald-Baar-Kreis;""4.820"";""3.570"";""1.250"";""26"""
"Schweinfurt;""1.860"";""1.370"";""480"";""26"""
"Schweinfurt, Stadt;""1.970"";""1.270"";""710"";""36"""
