"Kreis";"Anteil (>= 80 J.) (ARS)";"Anteil (>= 80 J.) (Kreis)";"Anteil (>= 80 J.) (Ins)";"Anteil (>= 80 J.) (Abs)";"Anteil (>= 80 J.) (value)"
336;"12067";"Oder-Spree";179245;16967;9.5
337;"12068";"Ostprignitz-Ruppin";98829;8700;8.8
338;"12069";"Potsdam-Mittelmark";219521;16706;7.6
339;"12070";"Prignitz";75574;7689;10.2
340;"12071";"Spree-Neiße";111955;10632;9.5
341;"12072";"Teltow-Fläming";172545;13318;7.7
342;"12073";"Uckermark";117336;11481;9.8
343;"13003";"Rostock,Stadt";208400;19055;9.1
344;"13004";"Schwerin,Stadt";95740;8988;9.4
345;"13071";"MecklenburgischeSeenplatte";257525;22974;8.9
346;"13072";"Rostock";217796;17086;7.8
347;"13073";"Vorpommern-Rügen";225900;20540;9.1
348;"13074";"Nordwestmecklenburg";158449;12581;7.9
349;"13075";"Vorpommern-Greifswald";235451;20364;8.6
350;"13076";"Ludwigslust-Parchim";211899;16552;7.8
351;"14511";"Chemnitz,Stadt";243105;23348;9.6
352;"14521";"Erzgebirgskreis";328695;31426;9.6
353;"14522";"Mittelsachsen";299329;29145;9.7
354;"14523";"Vogtlandkreis";221376;22976;10.4
355;"14524";"Zwickau";309621;31016;10
356;"14612";"Dresden,Stadt";555351;45762;8.2
357;"14625";"Bautzen";296290;29073;9.8
358;"14626";"Görlitz";248273;26293;10.6
359;"14627";"Meißen";239344;24030;10
360;"14628";"SächsischeSchweiz-Osterzgebirge";244009;23693;9.7
361;"14713";"Leipzig,Stadt";601866;44741;7.4
362;"14729";"Leipzig,Landkreis";258214;23185;9
363;"14730";"Nordsachsen";197529;17553;8.9
364;"15001";"Dessau-Roßlau,Stadt";78731;9153;11.6
365;"15002";"Halle(Saale),Stadt";238061;19901;8.4
366;"15003";"Magdeburg,Stadt";236188;20516;8.7
367;"15081";"AltmarkkreisSalzwedel";81986;6962;8.5
368;"15082";"Anhalt-Bitterfeld";155900;14872;9.5
369;"15083";"Börde";170106;13009;7.6
370;"15084";"Burgenlandkreis";176333;17342;9.8
371;"15085";"Harz";209117;19997;9.6
372;"15086";"JerichowerLand";89118;7826;8.8
373;"15087";"Mansfeld-Südharz";132317;13453;10.2
374;"15088";"Saalekreis";182814;14753;8.1
375;"15089";"Salzlandkreis";185495;17590;9.5
376;"15090";"Stendal";109746;9542;8.7
377;"15091";"Wittenberg";123341;12204;9.9
378;"16051";"Erfurt,Stadt";213227;16012;7.5
379;"16052";"Gera,Stadt";91368;9363;10.2
380;"16053";"Jena,Stadt";110502;8643;7.8
381;"16054";"Suhl,Stadt";36054;3727;10.3
382;"16055";"Weimar,Stadt";65138;5428;8.3
383;"16061";"Eichsfeld";99324;7615;7.7
384;"16062";"Nordhausen";81687;7514;9.2
385;"16063";"Wartburgkreis";158900;14028;8.8
386;"16064";"Unstrut-Hainich-Kreis";101269;8708;8.6
387;"16065";"Kyffhäuserkreis";72964;6486;8.9
388;"16066";"Schmalkalden-Meiningen";123404;10961;8.9
389;"16067";"Gotha";133825;11046;8.3
390;"16068";"Sömmerda";68717;5046;7.3
391;"16069";"Hildburghausen";62089;5052;8.1
392;"16070";"Ilm-Kreis";105367;9019;8.6
393;"16071";"WeimarerLand";82103;5937;7.2
394;"16072";"Sonneberg";56504;5487;9.7
395;"16073";"Saalfeld-Rudolstadt";100969;10323;10.2
396;"16074";"Saale-Holzland-Kreis";82513;6910;8.4
397;"16075";"Saale-Orla-Kreis";79030;7160;9.1
398;"16076";"Greiz";96102;9862;10.3
399;"16077";"AltenburgerLand";87807;9287;10.6
